passage_id,firm,year,page_number,passage_text,llm_label,human_label
6edb2c18,Zalando,2024,91,"New features include voice interaction and Trend Spotter integration, enabling users to explore weekly fashion trends. Building on a successful partnership, Zalando and OpenAI will continue collaborating to develop even more generative AI solutions for the fashion industry. Zalando SE ANNUAL REPORT ",Transitional, Transitional
c585e23f,Allegro,2023,104,"corruption prevention, competition law compliance, across all the Group’s operating companies. How- prevention of conflicts of interest, information ever, at the same time the Group recognises that, • Output generated by AI can breach third party’s • There is no currently applicable law in the field",Symbolic, Symbolic
df0a61e5,DocMorris,2025,8,The PhD molecular biologist and AI expert brings extensive leadership experience from Roche and Bayer and is a co-founder of the “Alliance for Artificial Intelligence in Healthcare”. Closure of Ludwigshafen site — DocMorris will close the Lud- wigshafen site by the end of June 2026. Logistics will b,Symbolic, Symbolic
73090b3e,Allegro,2023,164,"For merchants, digital prowess is innovate with artificial intelligence. Beyond bringing knowledge. Through these platforms, plus company dedicated to female technology leaders to grow a gateway to profitable growth.",Symbolic,Symbolic
201ec642,Allegro,2022,102,The proposal lished on 30 June are soon to be finalised. Proposal 2001/95/EC of the European Parliament and of the be published in Q2 2023. The Regulation will be defines Artificial Intelligence; prohibits the use of introduces a number of additional reporting re- Council of 3 December 2001 on gener,Symbolic, Symbolic
915d217d,Zalando,2025,199,"To enhance the accessibility of our EAP, we have expanded our partnership with certified counsellors. This provides our employees with support that is tailored to a diverse range of languages, cultural backgrounds and gender expressions. — To ensure compliance with EU artificial intelligence (AI) re",Symbolic, Symbolic
fc7b4e50,About You,2023,46,"This increase efficiency both internally, as well as The uniform regulation of social and represents one of the essential opportunities along the customer journey. A specific environmental standards along the supply identified, which allows ABOUT YOU to example is the new AI assistant MAYA, which ch",Transitional, Transitional
f063d1bc,Redcare Pharmacy,2025,54,"In order to mitigate this risk, we also identified planet Earth as a silent topic level. Within each topic, the highest IRO score determined its position in the stakeholder and leveraged an LLM to integrate the environmental perspective. Suppliers materiality matrix.",Symbolic, Symbolic
96d0aa7e,DocMorris,2025,18,"DocMorris | Annual Report 2025 | Segment Germany The use of artificial intelligence further increased productivity in the segments. The targeted use of AI-supported solutions – particu- larly in content creation, customer service and data analysis – has led to sustainable improvements in operational",Transitional, Transitional 
562619f8,HelloFresh,2025,19,"In 2025, HelloFresh Group capitalized MEUR 47.4 (or 23.8% of total technology expenditure) of technology costs focused on strategic technology initiatives in customer engagement, supply chain optimization, and operational foundations (2024: MEUR 47.7, or 22.2%). This amount remains stable, even as w",Symbolic, Symbolic
292f2b8f,Mytheresa,2023,29,"These new technologies, including artificial intelligence technologies, may also generate output that is misleading, insecure, inaccurate, harmful, or otherwise flawed, which may harm our reputation, business, or customers, or expose us to legal liability. We may be exposed to competitive risks rela",Symbolic, Symbolic
b11cbf26,Allegro,2025,4,"for the 2025 financial year. artificial intelligence within both his own ventures options and access to almost all Poland’s lockers will achieve our goals for further growth in our core and international corporations. and PUDOs, most often subsidized by the Group business.",Symbolic, Symbolic
6f00bb83,Allegro,2023,114,"This is also the purpose of the Directive general products safety and amendments of the lished by the European Commission. The proposal additional reporting requirements, precontractual 2001/95/EC of the European Parliament and of the Polish Civil Code of 23 April 1964. Further details defines Artif",Symbolic, Symbolic
a0d5ae36,Allegro,2025,73,"legal or PR related. Strategic risk link Potential impacts of AI • Output created by artificial intelligence may be incorrect and misleading and requires significant and meaningful human control and oversight, as inability to discover any Risk Level High (Probability – 2, Impact 5) issues, errors or",Symbolic, Symbolic
c1cf7944,ASOS,2025,74,"She brings deep expertise the roles of Chief Marketing Officer at held Board positions with numerous listed, in AI and machine learning, product Calvin Klein Inc and Chief Digital Officer private and PE-backed businesses such as strategy and scalable systems to at PVH Corp, its Parent Company. Marie",Symbolic, Symbolic
b3e81a38,Zalando,2024,84,"To accelerate the execution of the ecosystem strategy, we continue to invest in our technological capabilities. In 2023, we launched the Zalando Assistant, powered by the large language models of AI research and the deployment company OpenAI. After months of successful collaboration, the two compani",Transitional, Transitional
dcb32886,Zalando,2024,12,"In particular, the supervisory board dealt with the inspiration and entertainment pillar in the group’s B2C strategy as well as the logistics network strategy 2028 updated according to the company’s new strategic ambitions. The supervisory board further discussed Zalando’s initiatives and potential ",Symbolic, Symbolic
ad80efa9,HelloFresh,2025,210,"Employees in functions-at-risk of corruption and bribery are required to complete dedicated comprehensive training pathways as part of their annual compliance training, including modules on anti-corruption and ethical trading. By the end of 2025, a total of 6,473 employees successfully completed the",Symbolic, Symbolic
c6c9302d,Zalando,2025,77,"Growth was primarily bolstered by a front-loading of production, robust investment in artificial intelligence and supportive macroeconomic policies. However, global trade growth slowed in the second quarter of 2025 as higher tariffs artificially inflated import cost, forcing retailers to hike prices",Symbolic, Symbolic
2c01f5af,ASOS,2023,27,"Opportunity: Reacting quickly to embrace new technologies There is also a risk that suppliers pass on the associated cost of could ensure we retain competitive advantage, for example the their investment in this technology to us, which could increase our use of Artificial Intelligence and advanced a",Symbolic, Symbolic
e519f918,HelloFresh,2025,144,"Our engagements highlighted several key themes and led to specific actions in 2025. Employee engagement emphasized the importance of training and equitable career development, which led to a strategic prioritization of Change Management and Generative AI (GenAI) Literacy. Annual Report 2025 144 Hell",Symbolic,
74e8fae5,AO World,2025,18,3. Ongoing overhead control We also made progress in our data and analytics We maintain our disciplined approach to overhead strategy—expanding our use of machine learning cost control. We are investing in making operational and advanced analytics to inform business efficiencies to deal with inflati,Transitional, Symbolic
c77cbfbe,Allegro,2025,4,"combining the forces and competencies of the best Europe by developing the region’s most advanced companies in selected categories. and user-friendly e-commerce platform. Some of the initiatives already underway include Financially, 2025 met our expectations in terms the introduction of an AI assist",Transitional, Transitional
a34f7a79,DocMorris,2025,8,"2. AI-powered online pharmacy: For the approximately 11 mil- lion active pharmacy customers, the experience is being made more intuitive and individual through conversational AI, which sustainably strengthens conversion rates and customer loyalty. 3.",Transitional,Transitional
4f9ae380,Allegro,2025,167,"The Value chain Allegro positively impacts its business partners by Value proposition for Partners Allegro Group operates transparently and is diligent • Procurement Policy providing services such as opportunities for managing Terms & Conditions for partners delivery performance and communication, e",Symbolic, Symbolic
e357b075,Allegro,2023,104,"In the short term immediately after an acquisition, such • Content created by artificial intelligence does • The use of various unverified AI systems by the most risky (the highest turnover) cases a review as establishing an effective post merger integration not have ownership rights assigned to any",Symbolic, Symbolic
6f86a176,HelloFresh,2025,144,"Employee engagement emphasized the importance of training and equitable career development, which led to a strategic prioritization of Change Management and Generative AI (GenAI) Literacy. Annual Report 2025 144 HelloFresh Group",Symbolic, Symbolic
c4e3d073,Allegro,2022,131,"The programme was launched in reasons why it’s #goodtobehere. 24 episodes Testing hackathon, accessibility hackathon, April 2021. A journey that will make us blaze the trail published in 2022 reached an estimated number Machine Learning hackathon, Hacktoberfest by doing pioneering projects affecting",Symbolic, Symbolic
d0d12370,Zalando,2023,128,"2.3.4 Illustration of opportunities Given the definition of an opportunity as a positive deviation from planned values, we identified no material opportunity that could help us significantly overachieve our targets. Going beyond the materiality boundary, our major initiatives such as deepening custo",Symbolic, Symbolic
680aaa4c,Allegro,2025,166,"mitigate this risk, Allegro has implemented several • Value chain key initiatives and an internal document regulating the use of AI, as described in the Responsible AI section. This pdf document is not the binding version of the annual financial reporting of the Allegro.eu Group. The official versio",Symbolic, Symbolic
c2f2b732,Zalando,2023,8,"Zalando also launched a fashion assistant based on generative artificial intelligence, allowing customers to more easily navigate our assortment using their own words or fashion terms and ultimately helping them find their desired items faster. To entertain customers and deepen our relationship with",Transitional, Transitional
8e43d90e,Zalando,2023,12,"The Supervisory Board resolved to enlarge its remuneration and its sustainability and D&I committee by one additional member each. The Supervisory Board further discussed the decision of the European Commission to designate Zalando as “Very Large Online Platform” under the Digital Services Act, the ",Symbolic, Symbolic
05d03180,Allegro,2021,71,"If any of THE GROUP MAY BE UNABLE TO MANAGE ITS mobile use and faster, more reliable load times. types of goods that merchants offer on its mar- the foregoing were to occur, the Group's business, ANTICIPATED GROWTH EFFECTIVELY. In addition, machine learning and other forms of ketplace.",Symbolic, Symbolic
be81c1f6,Allegro,2021,115,"Our objective is to create optimal con- in the form of joint consultations, opinions and ditions for innovation, provide proper support for analyses merchants, and ensure safety and user friendliness Buyer Protection Program at Allegro 2021 2020 2019 for consumers, as well as a level-playing-field f",Symbolic, Symbolic
38797db3,Zalando,2023,76,"The technology allows customers to ask questions using their own fashion terms and words, helping them navigate Zalando’s large assortment in a more intuitive way. We are excited to see how we can leverage generative AI in new ways to make our customer experience even more engaging. Partners The str",Transitional, Transitional
ae8c0b87,ASOS,2023,27,"We could also retender to seek We could also fail to implement or take full advantage of these better price alternatives for goods and services at appropriate technologies, potentially reducing our competitiveness and break points in agreements. increasing other costs, such as through GHG taxation. ",Symbolic, Symbolic
e90b0cb1,About You,2024,27,"A specific example is the new AI assistant MAYA, which has been providing customers with personalized outfit recommendations and shopping advice using artificial intelligence in the ABOUT YOU app in DACH since April 2024. As a result, ABOUT YOU expects higher customer engagement and frequency, along",Transitional, Transitional
eebc1024,ASOS,2022,19,"Harnessing Microsoft Azure and pregnancy loss, the menopause, cancer ambitious Fashion with Integrity programme. its AI capabilities enables us to unlock new treatment, gender reassignment surgery or Anti-Slavery International has acted as ASOS’ experiences and tech capabilities, such as domestic vi",Symbolic, Symbolic
cfd32679,THG,2025,22,"Insights from colleagues drove meaningful complacent. action – from AI adoption training to enhanced onboarding. By asking questions, listening, and acting on what we hear, we continue building trust and transparency across the organisation.",Symbolic, Symbolic
4fab1952,About You,2024,27,"By leveraging innovative technologies, specifically Artificial Intelligence, ABOUT YOU aims to not only offer a unique customer experience, but also to increase efficiency both internally, as well as along the customer journey. A specific example is the new AI assistant MAYA, which has been providin",Transitional, Transitional
7589a141,Zalando,2024,280,"Fashion for Good manufacturing processes, packaging, technologies using artificial intelligence i) supports disruptive innovators on their financing and legal issues; and machine learning to optimise the journey to scale, providing hands-on ii) innovation programme, connecting our sorting of reweara",Transitional, Transitional
d6e8fd5c,Mytheresa,2025,31,"As such, any improper processing of personal data by these service providers and sub-processors could harm our reputation, business, or customers, or expose us to legal liability. Additionally, advancements in technology such as artificial intelligence may also enhance consumer access to luxury good",Symbolic, Symbolic
8e06a0c9,Zalando,2025,9,"The strategy enables the company to drive change and shape the industry in an environment where artificial intelligence, geopolitical dynamics, cultural changes and intense global competition are transforming how European consumers shop, and how fashion and lifestyle brands operate. In B2C, Zalando ",Transitional, Symbolic
b0b5cd1d,Allegro,2023,104,"to claims from A management system for governance, risk and The Group aims to apply its management system for which should be addressed throughout Group’s users and partners, which may result in lawsuits compliance, which includes standards of conduct, governance, risk and compliance described above",Symbolic, Symbolic
b3eb7eb5,Allegro,2023,114,"Further details defines Artificial Intelligence; prohibits the use of information obligations, requirements concerning Council of 3 December 2001 on general product are determined in various acts and governmental certain AI systems seen as intrusive or manipulative; advertising of credit products, a",Symbolic, Symbolic
92b69cf9,Allegro,2025,4,"and user-friendly e-commerce platform. Some of the initiatives already underway include Financially, 2025 met our expectations in terms the introduction of an AI assistant to the shopping of revenue, profitability, and investment. Allegro Through our strong growth intentions and a drive As we closed",Transitional, Transitional
dd4495bc,Allegro,2025,44,"Beyond unlocking new customer segments, we see • Improving the quality of content, customer several benefits that would also strengthen the core care and functionality of the marketplace by platform, primarily through increased purchase applying advanced technology solutions such frequency, an enhan",Symbolic, Symbolic
dbffb98f,DocMorris,2021,17,What is the latory frameworks in place? Are the underlying main focus for 2022? value chains sufficiently mature? These are just a few of many essential questions. One of the con- It’s important for me to be able to think out- crete upcoming opportunities to integrate digital side the box. I don’t t,Symbolic, Symbolic
25726f73,Allegro,2023,165,"Generative AI, to enhance the accuracy and detail Combined with the proven impact of a credible GRI Standard/ of product descriptions in offers on the platform. promise of fast delivery on conversion and GMV, other source Disclosure Location Good descriptions available in the catalogue will this res",Substantive, Transitional
5a06fe8b,DocMorris,2025,17,"This step also reduced the number of management levels. As part of the realignment, DocMorris made further adjustments to its management structures and streamlined the organisation in a targeted manner. At the same time, DocMorris strengthened the strategic importance of artificial intelligence and ",Symbolic, Symbolic
80ad9a1f,About You,2023,46,"supply models also includes the implemen- unique customer experience, but also to tation of additional operating models. This increase efficiency both internally, as well as The uniform regulation of social and represents one of the essential opportunities along the customer journey. A specific envi",Transitional, Symbolic
7d945bac,Allegro,2023,165,"In promise of next-day delivery compared to previous commitment to digitalization, Allegro has integrated solutions, while maintaining over 90% accuracy. Generative AI, to enhance the accuracy and detail Combined with the proven impact of a credible GRI Standard/ of product descriptions in offers on",Substantive, Substantive
