passage_id,firm,year,human_label,old_llm_label,new_llm_label,justification,agreement,changed_from_original
da158643,HelloFresh,2025,Symbolic,Transitional,Symbolic,"Generative AI is referenced only as a subject of a compliance policy, not as a named operational application — this falls under Step 2 automatic Symbolic category (b/g), as it describes a regulatory/governance framework rather than any deployed AI function.",True,True
569d0bec,Zalando,2025,Symbolic,Transitional,Symbolic,"AI is mentioned only generically as part of a broader environmental context ('artificial intelligence, geopolitical dyn...') with no named application, no measurable outcome, and the passage is forward-looking and aspirational in tone, satisfying the automatic Symbolic criteria under Step 2g.",True,True
c453af1d,THG,2025,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is so broken and incoherent that no identifiable AI-related claim, named application, or measurable outcome can be extracted.",True,True
cfc9b248,Allegro,2023,Transitional,Substantive,Transitional,"The passage names specific AI applications (Computer Vision, machine learning image processing, reranking and personalisation architectures) currently deployed, but is fragmentary and provides no measurable outcomes, yielding a Transitional classification.",True,True
6e401e5d,Zalando,2025,Symbolic,Transitional,Symbolic,"The passage contains no AI-related content whatsoever — it describes supervisory board committee activity, a takeover offer review, and a CPO update on people matters — and therefore scores 0 across all three diagnostic questions.",True,True
907946ff,Allegro,2023,Symbolic,Symbolic,Symbolic,"FRAGMENTED TEXT — the passage is too broken and incoherent to extract any identifiable AI application, deployment description, or measurable outcome; the only AI-related fragment ('Content created by artificial intelligence does') is incomplete and yields no classifiable claim.",True,False
9af11ea0,Allegro,2025,Symbolic,Symbolic,Symbolic,"The passage is heavily fragmented and the only AI reference — 'content created by artificial intelligence does not have own' — is an incomplete sentence that names no specific AI application, provides no measurable outcome, and cannot be assessed for deployment status, meeting the FRAGMENTED TEXT threshold for Symbolic classification.",True,False
87de711c,Zalando,2025,Symbolic,Substantive,Symbolic,"The passage contains no AI-related content whatsoever — it describes Extended Producer Responsibility (EPR) and recycling operations — and therefore scores 0 on Q1 and Q2, resulting in a Symbolic classification.",True,True
00b389ab,Moonpig,2024,Symbolic,Symbolic,Symbolic,"Automatic Symbolic applied under Step 2(a): the passage exclusively describes Board-level training on artificial intelligence as a governance topic, with no named AI application, system, or measurable operational outcome.",True,False
ee522d88,Boozt,2024,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is heavily fragmented and incoherent, referencing 'transfer cells at the BFC' and generic language about 'performance, scalability, and innovation' but containing no identifiable AI application, named function, or measurable outcome that can be reliably extracted.",True,True
e55f892e,Mytheresa,2025,Symbolic,Symbolic,Symbolic,"The passage describes general IT system investment and upgrades without naming any specific AI application, tool, or function, and contains no measurable AI-related outcomes, resulting in a score of 1 (Symbolic).",True,False
6d8df2b6,Mytheresa,2023,Symbolic,Symbolic,Symbolic,"The passage contains only generic macroeconomic commentary about AI as a technology trend with no named specific AI application, no measurable outcomes, and forward-looking speculative language about future disruption, triggering automatic Symbolic classification under Step 2 criterion (c/d).",True,False
a0f066ce,HelloFresh,2025,Symbolic,Symbolic,Symbolic,"Automatic Symbolic under Step 2(d): the passage is purely macroeconomic commentary about AI investment trends in the broader economy, with no named AI application, no measurable outcome linked to the reporting firm, and no evidence of current deployment.",True,False
bab12905,Allegro,2021,Symbolic,Symbolic,Symbolic,"Despite a measurable refund time figure (12h), AI is mentioned only generically in a list of regulatory and strategic topics ('the use of artificial intelligence and data') with no named application, no AI-linked metric, and aspirational framing ('should allow us to innovate'), satisfying the automatic Symbolic criterion of AI mentioned only in passing alongside unrelated topics.",True,False
5a80b553,AO World,2024,Symbolic,Symbolic,Symbolic,"The passage contains no named AI application or system — it references general application modernisation and a Contact Centre platform replacement in future tense, with no AI-specific function, no measurable outcome, and the text is also partially fragmented at the end, yielding a score of 0.",True,False
892b64ae,Moonpig,2024,Symbolic,Transitional,Symbolic,"Automatic Symbolic applied under Step 2(a): the passage describes only mandatory compliance training modules for Directors covering governance topics, with no named AI application, no AI content whatsoever, and no measurable outcomes.",True,True
9b4dddf4,Allegro,2021,Symbolic,Symbolic,Symbolic,The passage references the EU legal framework for AI and data privacy regulation — an automatic Symbolic classification under Step 2(b) as it contains only regulatory/legal framework references with no named AI application or measurable outcome.,True,False
0fe31ad4,ASOS,2023,Symbolic,Transitional,Symbolic,"The passage contains no named AI application or specific AI technology — only generic references to 'data' and 'innovation' — and no measurable outcomes, resulting in a score of 1 which falls within the Symbolic threshold.",True,True
73aec12e,Allegro,2023,Symbolic,Transitional,Symbolic,"The passage is heavily fragmented and truncated — while 'machine learning models' is mentioned, the sentence is cut off before any specific named application or function can be identified, leaving only a generic and incomplete reference that does not meet the threshold for a named AI function.",True,True
189b82e5,Allegro,2025,Symbolic,Symbolic,Symbolic,"Although machine learning, artificial intelligence, and robotics are named as technologies, they are listed generically without any specific named application or business function, no measurable outcomes are provided, and the passage is aspirational in tone ('aim to provide'), resulting in a score of 0.",True,False
c668c1c1,Allegro,2025,Symbolic,Symbolic,Symbolic,"The passage contains only a governance risk disclosure referencing insufficient corporate governance and ethical frameworks with no named AI application, no measurable outcome, and no deployment evidence, triggering automatic Symbolic classification under Step 2 criteria (b) and (c).",True,False
ffe9fd7f,Allegro,2025,Symbolic,Symbolic,Symbolic,"The passage is a risk disclosure describing potential negative consequences of AI output (legal, PR, ethical risks) with no named specific AI application, no measurable outcomes, and no evidence of current deployment — qualifying as an automatic Symbolic under Step 2 criterion (c): risk disclosures about AI as an industry or operational threat.",True,False
a2aef007,HelloFresh,2025,Transitional,Substantive,Symbolic,"Although specific financial metrics are provided (MEUR 199.1, 2.9% of revenue), the passage describes general technology expenditure including salaries for developers and data engineers, with no named AI-specific application or function, yielding a Q1 score of 0 and a final classification score of 2 that nonetheless resolves to Symbolic because the scoring rule requires Q1=1 as a prerequisite for Transitional — the passage contains no identifiable AI content beyond generic technology spending.",False,True
315c8550,Allegro,2025,Symbolic,Symbolic,Symbolic,"The passage is a risk disclosure warning that AI-generated content may be inappropriate or unethical, which falls under automatic Symbolic category (c) — a risk disclosure about AI — with no named specific AI application, no measurable outcome, and no evidence of current deployment.",True,False
e5492c06,Allegro,2023,Symbolic,Symbolic,Symbolic,"The passage is heavily fragmented and incoherent; while 'machine learning tools' is mentioned, it appears only in the context of a risk/disruption disclosure with no named specific AI application, no measurable outcome, and no evidence of current deployment, satisfying the automatic Symbolic criteria for risk disclosures about AI.",True,False
a883e833,Boozt,2021,Symbolic,Transitional,Symbolic,"The passage is partially fragmented and contains no identifiable AI application, named tool, or AI-related claim — only generic references to shipments, deliveries, and fashion value chain skills — resulting in a score of 1 and a Symbolic classification.",True,True
2db7183b,Allegro,2021,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is so broken and incoherent, combining unrelated sentence fragments about insurance, transaction finalization, inventory risk, and fiscal year references, that no coherent AI-related claim can be extracted.",True,True
da5086e2,Redcare Pharmacy,2024,Symbolic,Symbolic,Symbolic,"The passage contains no named AI application or specific function, no measurable outcome, and the only direct AI reference — 'Artificial Intelligence will play a crucial role in our journey ahead' — is a purely aspirational future-tense statement matching the automatic Symbolic criterion (g).",True,False
513b8a27,Mytheresa,2022,Symbolic,Symbolic,Symbolic,"This passage is a board member biography referencing prior involvement with AI topics at a previous employer (Tesla), triggering automatic Symbolic classification under Step 2 criterion (e).",True,False
c8e14327,Moonpig,2024,Symbolic,Symbolic,Symbolic,"Automatic Symbolic applied under Step 2(a): the passage refers exclusively to Board-level training on artificial intelligence as a governance topic, with no named AI application or operational deployment described.",True,False
17e8d287,Boozt,2023,Transitional,Transitional,Transitional,"Despite partial fragmentation, the passage contains identifiable named AI applications (product descriptions, size recommendations, distribution, fulfilment, payment, and marketing improvements via big data and machine learning) in current tense, but provides no quantified metrics or measurable outcomes, yielding a score of 2 and a Transitional classification.",True,False
8f7bae1c,Moonpig,2025,Symbolic,Symbolic,Symbolic,"Automatic Symbolic applied under Step 2(a): the passage exclusively describes Board-level training on artificial intelligence as a governance topic, with no named AI application, specific tool, or operational deployment referenced.",True,False
7a37e5bd,Allegro,2023,Symbolic,Symbolic,Symbolic,"The passage references a 'Product Safety Framework for AI' in the context of EU regulatory and legal frameworks, which triggers the automatic Symbolic classification under Step 2(b) — regulatory/legal framework references — with no named AI application or measurable outcome present.",True,False
8da81300,AO World,2024,Symbolic,Symbolic,Symbolic,"The passage contains no named AI application or AI-related content whatsoever — it describes ERP transformation and application modernisation in future tense only, with no specific AI function, measurable outcome, or current deployment.",True,False
25b2c81f,Allegro,2021,Symbolic,Symbolic,Symbolic,"The passage is heavily fragmented and truncated mid-sentence; the only discernible AI reference is a generic mention of 'machine learning and other forms of artificial intelligence' with no named application, no measurable outcome, and no deployment evidence, matching the automatic Symbolic criterion for industry-level commentary without a specific named function.",True,False
1b3276ab,Redcare Pharmacy,2025,Transitional,Transitional,Transitional,"The passage names a specific AI approach (generative AI with custom in-house solutions and external technologies) in current deployment tense, but despite stated goals of enhancing efficiency and reducing costs, no quantified metrics are provided; the fragmented tail referencing the Pilsen facility is unrelated and does not affect the AI classification.",True,False
8e2828f5,Zalando,2024,Symbolic,Symbolic,Symbolic,"The passage references a partnership with OpenAI and mentions 'generative AI solutions for the fashion industry' but names no specific AI application or function, provides no measurable outcome, and is entirely forward-looking ('will continue collaborating'), satisfying none of the three diagnostic criteria.",True,False
34d8830d,Allegro,2025,Symbolic,Transitional,Symbolic,"The passage is heavily fragmented and contains only a reference to corporate governance and ethical frameworks on AI with no named AI application, no measurable outcome, and no evidence of deployment; the AI mention falls under automatic Symbolic category (b/g) as it relates solely to governance framing.",True,True
c9560ab9,Allegro,2021,Symbolic,Transitional,Symbolic,"The passage contains only generic industry-level commentary that 'machine learning and other forms of artificial intelligence are transforming aspects of the marketplace,' with no named AI application, no measurable outcome, and no evidence of current deployment — triggering the automatic Symbolic category under Step 2 criterion (d) for macroeconomic/industry commentary.",True,True
38a2717e,Allegro,2023,Transitional,Substantive,Transitional,"Despite fragmentation, two specific AI applications are identifiable — an image search mechanism in the mobile app and a machine learning model for merchants — both referenced in current tense, but no measurable outcomes or metrics are provided.",True,True
104f00a9,THG,2023,Transitional,Substantive,Symbolic,"Although the passage contains partial references to a WMS and automated instruction capability, the text is too fragmented to identify a clearly named AI application or measurable outcome, yielding a score of 1 which falls within the Symbolic range.",False,True
868e929b,Allegro,2021,Symbolic,Substantive,Symbolic,"FRAGMENTED TEXT — the passage is heavily broken and contains no identifiable AI application, tool, or deployment; the only discernible content relates to loan targets and GMV growth aspirations with no AI-specific claim extractable.",True,True
88498c21,Allegro,2023,Substantive,Substantive,Substantive,"The passage names specific AI applications (Visual Search, image classification, Computer Vision models), provides a measurable metric directly linked to the AI team (2,243 workers in Technology team), and describes current deployment activity, satisfying all three criteria for Substantive classification.",True,False
6033a4ad,ASOS,2025,Symbolic,Transitional,Symbolic,"Automatic Symbolic applies under Step 2(f): 'Action Artificial Intelligence Limited' is a subsidiary listing where a company name contains 'Artificial Intelligence' but no operational description is provided, and the 2.9% interest figure relates to a corporate holding, not an AI application or measurable AI outcome.",True,True
56e26e75,Redcare Pharmacy,2025,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is so broken and incoherent (referencing stakeholder screening, 'Planet Earth,' and a truncated phrase about 'leveraging' environmental data) that no coherent AI-related claim, named application, or measurable outcome can be extracted.",True,True
f31af4f6,HelloFresh,2025,Transitional,Transitional,Transitional,"The passage names a specific deployed initiative (Global AI Strategy for upskilling employees on AI fundamentals, launched in 2025) in current tense, matching the calibration example exactly, but provides no quantified metrics or measurable outcomes.",True,False
7432a7ae,Allegro,2021,Transitional,Transitional,Transitional,"Despite heavy fragmentation, the passage contains a clearly identifiable named AI application ('fraud detection system') with current deployment confirmed ('has implemented'), but no measurable outcome is provided, yielding a Transitional classification per the Step 1 instruction to classify on extractable content.",True,False
910ae3c6,Zalando,2025,Symbolic,Symbolic,Symbolic,"Automatic Symbolic applies under Step 2(d) as the passage contains only macroeconomic commentary referencing AI as a broad economic investment trend, with no named specific AI application or measurable outcome linked to the reporting firm.",True,False
f7501d1d,Moonpig,2024,Symbolic,Symbolic,Symbolic,"Automatic Symbolic applies under Step 2(c) as the passage is a risk disclosure framing AI as an emerging threat to monitor, with no named AI application and no measurable outcomes.",True,False
4938eec4,Zalando,2023,Symbolic,Symbolic,Symbolic,"The passage contains only a vague aspirational statement about leveraging generative AI to improve customer experience with no named specific application, no measurable outcome, and future-oriented language ('we are excited to see how we can'), satisfying the automatic Symbolic criterion for pure aspirational statements with no named application.",True,False
2b66d1f9,Allegro,2022,Symbolic,Transitional,Symbolic,"FRAGMENTED TEXT — the passage is so broken and incoherent that no specific AI application, deployment, or measurable outcome can be extracted; it contains only garbled references to service disruption, retail operations, and stock levels with no discernible AI-related claim.",True,True
72a97cbc,Allegro,2025,Symbolic,Transitional,Symbolic,"The passage is largely incoherent and fragmented; the only discernible AI reference — 'help in AI adoption' — is a vague, generic mention with no named AI application, no measurable outcome, and no evidence of current deployment, satisfying none of the three diagnostic criteria.",True,True
